Player,Pos,Fantasy Ranking,Z-Score Ranking,Z Total,Difference
James Harden,SG,1.0,1,15.28443143,0.0
Anthony Davis,PF,2.0,2,14.28384233,0.0
Luka Doncic,PG,3.0,15,8.951041245,-12.0
Karl-Anthony Towns,C,4.0,4,11.67967481,0.0
Giannis Antetokounmpo,PF,5.0,5,11.33708548,0.0
Nikola Jokic,C,6.0,13,9.459613064,-7.0
Stephen Curry,PG,7.0,32,7.075061511,-25.0
Damian Lillard,PG,8.0,8,10.27048522,0.0
Jayson Tatum,PF,9.0,10,9.913608077000001,-1.0
Trae Young,PG,10.0,43,6.4144248379999995,-33.0
LeBron James,PG,11.0,11,9.896339942000001,0.0
Kawhi Leonard,SF,12.0,3,11.71573103,9.0
Devin Booker,SG,13.0,57,5.426911118,-44.0
Joel Embiid,C,14.0,38,6.549605026,-24.0
Bam Adebayo,PF,16.0,21,8.233763322,-5.0
Deandre Ayton,C,17.0,73,4.6444565330000005,-56.0
Bradley Beal,SG,18.0,22,8.020626818,-4.0
Jimmy Butler,SF,19.0,14,9.023597132,5.0
Ben Simmons,PG,20.0,16,8.879369586000001,4.0
John Collins,PF,21.0,7,10.61399817,14.0
Paul George,SG,22.0,20,8.31526056,2.0
Kyrie Irving,PG,23.0,6,10.88117746,17.0
Shai Gilgeous-Alexander,SG,24.0,31,7.083995009,-7.0
Russell Westbrook,PG,25.0,27,7.482718858999999,-2.0
Nikola Vucevic,C,26.0,18,8.509438979,8.0
Pascal Siakam,PF,27.0,23,7.958796229,4.0
Zach LaVine,SG,29.0,24,7.790223451,5.0
Andre Drummond,C,30.0,42,6.425566795,-12.0
Chris Paul,PG,31.0,29,7.335631436,2.0
Brandon Ingram,PF,32.0,28,7.339694754,4.0
Domantas Sabonis,PF,33.0,36,6.875461143,-3.0
Khris Middleton,SF,34.0,30,7.291836756,4.0
Jrue Holiday,SG,35.0,19,8.495588252000001,16.0
Kyle Lowry,PG,36.0,25,7.740391123999999,11.0
Donovan Mitchell,SG,37.0,66,5.064442975,-29.0
Christian Wood,PF,38.0,92,3.614067778,-54.0
Jusuf Nurkic,C,40.0,12,9.786872383,28.0
Ja Morant,PG,41.0,118,2.8966871289999996,-77.0
DeMar DeRozan,SF,42.0,51,5.754065251,-9.0
Tobias Harris,PF,43.0,37,6.689497222000001,6.0
