Rank,Name,Pos,Z Total
1,James Harden,SG,16.43405956
2,Anthony Davis,PF,13.4635239
3,Nikola Jokic,C,11.58987217
4,Damian Lillard,PG,10.75409612
5,LeBron James,PG,10.72130723
6,Giannis Antetokounmpo,PF,9.971621823
7,Jayson Tatum,PF,9.538055125
8,Kawhi Leonard,SF,9.387989208
9,Bam Adebayo,PF,9.16139164
10,Chris Paul,PG,8.741518754
11,Shai Gilgeous-Alexander,SG,8.138437768
12,Luka Dončić,PG,8.05620267
13,Ben Simmons,PG,7.939156081
14,Nikola Vučević,C,7.914252131
15,CJ McCollum,SG,7.42849579
16,Tobias Harris,PF,7.355317143
17,Kristaps Porzingis,C,7.126816733
18,Jrue Holiday,SG,6.943042922
19,Jimmy Butler,SF,6.670849167
20,Hassan Whiteside,C,6.641290792
21,Devin Booker,SG,6.639027671
22,Khris Middleton,SF,6.543298835
23,Brook Lopez,C,6.36595888
24,Brandon Ingram,PF,6.272446975
25,Nemanja Bjelica,PF,6.222591923
26,Bradley Beal,SG,6.149988795
27,DeMar DeRozan,SF,6.125027679
28,Pascal Siakam,PF,6.113978391
29,Zach LaVine,SG,6.028686593
30,Buddy Hield,SG,5.964717962
31,Al Horford,C,5.963523701
32,T.J. Warren,SF,5.939648987
33,Mikal Bridges,SF,5.900298431
34,Duncan Robinson,SG,5.848051025
35,Kyle Lowry,PG,5.837643791
36,Donovan Mitchell,SG,5.665694361
37,Russell Westbrook,PG,5.514160832
38,Derrick White,SG,5.373737247
39,Domantas Sabonis,PF,5.2223491
40,Trae Young,PG,5.129392505
41,Maxi Kleber,PF,4.833409905
42,John Collins,PF,4.797393733
43,Andre Drummond,C,4.79663812
44,LaMarcus Aldridge,C,4.580297167
45,OG Anunoby,SF,4.564013608
46,Evan Fournier,SF,4.55161763
47,Dejounte Murray,PG,4.415168661
48,Fred VanVleet,SG,4.351743282
49,Jonas Valančiūnas,C,4.331172825
50,Kemba Walker,PG,4.319345413
51,Ricky Rubio,PG,4.171669936
52,Paul George,SG,4.117604274
53,Justin Holiday,SF,4.086863209
54,Jamal Murray,PG,4.036397329
55,Danilo Gallinari,PF,4.030853341
56,Myles Turner,C,3.967150845
57,Kelly Oubre Jr.,SF,3.874947329
58,Jaren Jackson Jr.,C,3.871325109
59,Joel Embiid,C,3.757972202
60,Marcus Smart,SG,3.743122069
61,Dāvis Bertāns,PF,3.729255468
62,Kevin Love,PF,3.729253087
63,Will Barton,SF,3.725744462
64,Jaylen Brown,SG,3.712233679
65,Gordon Hayward,SF,3.620679537
66,Joe Ingles,PF,3.619706392
67,Jarrett Allen,C,3.595746
68,P.J. Tucker,PF,3.557098541
69,Terrence Ross,SG,3.516012933
70,Karl-Anthony Towns,C,3.474150206
71,Terry Rozier,PG,3.318645042
72,Eric Bledsoe,PG,3.312342989
73,Daniel Theis,C,3.1527714
74,Brandon Clarke,PF,3.145789192
75,Devonte' Graham,PG,3.106757268
76,Lonzo Ball,PG,3.076738608
77,Norman Powell,SG,3.025152538
78,Nerlens Noel,C,2.990298799
79,Jerami Grant,PF,2.875626033
80,Danuel House,SF,2.737092065
81,Ja Morant,PG,2.725185096
82,Christian Wood,PF,2.724197453
83,Delon Wright,PG,2.702065187
84,Dillon Brooks,SG,2.528038209
85,Dennis Schröder,SG,2.521377453
86,Andrew Wiggins,SF,2.502011801
87,Bojan Bogdanović,SF,2.440644167
88,Joe Harris,SF,2.420698514
89,Aaron Gordon,PF,2.401603805
90,Dorian Finney-Smith,PF,2.363331219
91,Royce O'Neale,SF,2.330891428
92,Harrison Barnes,PF,2.286179652
93,Troy Brown Jr.,SF,2.235626849
94,De'Aaron Fox,PG,2.232029492
95,Donte DiVincenzo,SG,2.225503336
96,Glenn Robinson III,SF,2.170146705
97,Marquese Chriss,PF,2.156677106
98,Kelly Olynyk,C,2.149402758
99,Tim Hardaway Jr.,SG,2.117212651
100,Jordan Clarkson,SG,2.104606643
101,Kendrick Nunn,PG,2.051016485
102,Miles Bridges,SF,2.011162714
103,Julius Randle,PF,1.982440789
104,Collin Sexton,PG,1.966828211
105,Spencer Dinwiddie,PG,1.904747267
106,Ish Smith,PG,1.872679363
107,Kevin Huerter,SG,1.869250923
108,Josh Hart,SF,1.811058234
109,Bogdan Bogdanović,SG,1.776094491
110,Tomáš Satoranský,SG,1.730884491
111,Tony Snell,SF,1.668935679
112,Rudy Gay,PF,1.642581768
113,Malcolm Brogdon,PG,1.621512349
114,Montrezl Harrell,C,1.61830101
115,Dario Šarić,PF,1.616701651
116,Derrick Jones Jr.,SF,1.608281921
117,Larry Nance Jr.,PF,1.557692332
118,Steven Adams,C,1.548691177
119,Markelle Fultz,PG,1.51006586
120,Seth Curry,SG,1.453102098
121,George Hill,PG,1.419445753
122,Monte Morris,PG,1.416096156
123,T.J. McConnell,PG,1.410052769
124,Carmelo Anthony,PF,1.399358376
125,Jonathan Isaac,PF,1.312600434
126,Danny Green,SG,1.203760902
127,Josh Richardson,SG,1.192144801
128,J.J. Redick,SG,1.117068894
129,Ivica Zubac,C,1.067504546
130,Gorgui Dieng,C,1.045781663
131,D'Angelo Russell,PG,1.036892614
132,Derrick Rose,PG,0.925679222
133,Lou Williams,PG,0.920732017
134,Taurean Prince,PF,0.892744746
135,Bruce Brown,PG,0.757341521
136,Ben McLemore,SF,0.715690195
137,Thomas Bryant,C,0.711451163
138,Jeremy Lamb,SG,0.692506596
139,Paul Millsap,PF,0.605735843
140,Trevor Ariza,SF,0.583526778
141,Garrett Temple,SG,0.542829017
142,Lauri Markkanen,PF,0.524523587
143,Langston Galloway,SG,0.517890178
144,Terence Davis,SG,0.515467512
145,JaVale McGee,C,0.466534455
146,Serge Ibaka,C,0.452460009
147,Patty Mills,PG,0.304260056
148,Brad Wanamaker,PG,0.294366023
149,Josh Okogie,SG,0.263749676
150,P.J. Washington,PF,0.254673684
151,Tristan Thompson,PF,0.226258178
152,Kent Bazemore,SF,0.179219072
153,Pat Connaughton,SG,0.147574632
154,Gary Trent Jr.,SF,0.100325112
155,Kris Dunn,PG,0.082790761
156,Cory Joseph,PG,0.07557632
157,Michael Porter Jr.,SF,0.05468174
158,Goran Dragić,PG,-0.00382236
159,Kentavious Caldwell-Pope,SG,-0.039249811
160,Aaron Holiday,PG,-0.111676768
161,Doug McDermott,PF,-0.129805883
162,Jeff Teague,PG,-0.145557544
163,Deandre Ayton,C,-0.176827611
164,Tyler Herro,SG,-0.251267492
165,Dwight Howard,C,-0.324293997
166,Thaddeus Young,PF,-0.325404355
167,Gary Harris,SG,-0.333938787
168,Cedi Osman,SF,-0.361279911
169,Damion Lee,SG,-0.374385245
170,Cameron Johnson,PF,-0.387293078
171,Patrick Beverley,PG,-0.496999367
172,Matisse Thybulle,SG,-0.556361613
173,Kyrie Irving,PG,-0.57211637
174,Draymond Green,PF,-0.599599792
175,Kyle Anderson,SF,-0.644468227
176,Furkan Korkmaz,SG,-0.65921413
177,De'Andre Hunter,SF,-0.726172406
178,Willie Cauley-Stein,C,-0.726997466
179,Marvin Williams,PF,-0.742494389
180,Eric Paschall,PF,-0.78459231
181,Bobby Portis,PF,-0.833304027
182,Damian Jones,C,-0.857924135
183,Cody Zeller,C,-0.922796663
184,Rui Hachimura,PF,-0.945897714
185,Isaac Bonga,SF,-0.964724004
186,De'Anthony Melton,PG,-0.993904453
187,Shabazz Napier,PG,-1.008314249
188,Marc Gasol,C,-1.052928636
189,Chris Boucher,C,-1.068305941
190,Coby White,PG,-1.077779417
191,Cam Reddish,SF,-1.087794915
192,Jaxson Hayes,C,-1.11601183
193,Trey Lyles,PF,-1.137326873
194,JaMychal Green,PF,-1.166745169
195,Ersan İlyasova,PF,-1.192319868
196,Derrick Favors,C,-1.212734986
197,Tyus Jones,PG,-1.393138542
198,Jabari Parker,PF,-1.423922862
199,Enes Kanter,C,-1.473260653
200,Dwight Powell,C,-1.556447093
201,Wendell Carter Jr.,C,-1.557123528
202,Kyle Kuzma,PF,-1.58090883
203,Moritz Wagner,C,-1.8237157
204,Michael Carter-Williams,SG,-1.833194276
205,Malik Beasley,SG,-1.834900567
206,Rondae Hollis-Jefferson,PF,-1.879653934
207,Markieff Morris,PF,-1.883871038
208,Sviatoslav Mykhailiuk,SF,-1.887587884
209,Bryn Forbes,SG,-1.93986159
210,Caris LeVert,SG,-1.946542902
211,Mo Bamba,C,-1.962478363
212,Jevon Carter,PG,-1.985100833
213,Taj Gibson,C,-1.990202718
214,Nicolò Melli,C,-2.041135874
215,Kyle Korver,SF,-2.051383432
216,Mike Conley,PG,-2.205827105
217,Austin Rivers,SG,-2.260851598
218,Mike Scott,PF,-2.33460568
219,Malik Monk,SG,-2.361358785
220,Elfrid Payton,PG,-2.375111377
221,Frank Ntilikina,PG,-2.391533785
222,Mason Plumlee,C,-2.395682104
223,Alex Len,C,-2.463437683
224,Omari Spellman,C,-2.574083573
225,Aron Baynes,C,-2.577905632
226,D.J. Augustin,PG,-2.614977329
227,Alex Caruso,PG,-2.642729209
228,Darius Garland,SG,-2.684076067
229,Jalen Brunson,PG,-2.720654669
230,Avery Bradley,SG,-2.734828436
231,Luke Kennard,SG,-2.779184731
232,Tony Bradley,C,-2.80098506
233,Georges Niang,PF,-2.87194102
234,Landry Shamet,SG,-2.901530518
235,RJ Barrett,SG,-2.934522161
236,Wesley Matthews,SG,-2.935896511
237,Harry Giles,C,-3.049760869
238,Shake Milton,SG,-3.091396624
239,Kevin Porter Jr.,SF,-3.256281625
240,Anfernee Simons,SG,-3.321408538
241,Jarrett Culver,SG,-3.37074056
242,Solomon Hill,PF,-3.502003169
243,Ky Bowman,PG,-3.567230244
244,Abdel Nader,SF,-3.619526025
245,Timothé Luwawu-Cabarrot,SF,-3.625973118
