Rank,Name,Pos,Z Total
1,James Harden,SG,15.28443143
2,Anthony Davis,PF,14.28384233
3,Kawhi Leonard,SF,11.71573103
4,Karl-Anthony Towns,C,11.67967481
5,Giannis Antetokounmpo,PF,11.33708548
6,Kyrie Irving,PG,10.88117746
7,John Collins,PF,10.61399817
8,Damian Lillard,PG,10.27048522
9,Jonathan Isaac,PF,9.977082807
10,Jayson Tatum,PF,9.913608077
11,LeBron James,PG,9.896339942
12,Jusuf Nurkić,C,9.786872383
13,Nikola Jokić,C,9.459613064
14,Jimmy Butler,SF,9.023597132
15,Luka Dončić,PG,8.951041245
16,Ben Simmons,PG,8.879369586
17,Kristaps Porziņģis,C,8.662664674
18,Nikola Vučević,C,8.509438979
19,Jrue Holiday,SG,8.495588252
20,Paul George,SG,8.31526056
21,Bam Adebayo,PF,8.233763322
22,Bradley Beal,SG,8.020626818
23,Pascal Siakam,PF,7.958796229
24,Zach LaVine,SG,7.790223451
25,Kyle Lowry,PG,7.740391124
26,Fred VanVleet,SG,7.682760769
27,Russell Westbrook,PG,7.482718859
28,Brandon Ingram,PF,7.339694754
29,Chris Paul,PG,7.335631436
30,Khris Middleton,SF,7.291836756
31,Shai Gilgeous-Alexander,SG,7.083995009
32,Stephen Curry,PG,7.075061511
33,Kemba Walker,PG,6.973541391
34,CJ McCollum,SG,6.945479913
35,LaMarcus Aldridge,C,6.875491767
36,Domantas Sabonis,PF,6.875461143
37,Tobias Harris,PF,6.689497222
38,Joel Embiid,C,6.549605026
39,Dāvis Bertāns,PF,6.497166412
40,Hassan Whiteside,C,6.487304701
41,Kelly Oubre Jr.,SF,6.43167525
42,Andre Drummond,C,6.425566795
43,Trae Young,PG,6.414424838
44,Marcus Smart,SG,6.355290316
45,Will Barton,SF,6.355128013
46,Gordon Hayward,SF,6.276415542
47,Andrew Wiggins,SF,6.130065849
48,D'Angelo Russell,PG,6.090475664
49,Kevin Love,PF,5.959348026
50,T.J. Warren,SF,5.826755265
51,DeMar DeRozan,SF,5.754065251
52,Jaylen Brown,SG,5.740750735
53,Brook Lopez,C,5.739182568
54,Nemanja Bjelica,PF,5.734330228
55,Al Horford,C,5.545279122
56,De'Aaron Fox,PG,5.530616422
57,Devin Booker,SG,5.426911118
58,Draymond Green,PF,5.374814592
59,Lonzo Ball,PG,5.259080434
60,Derrick White,SG,5.193195028
61,Jaren Jackson Jr.,C,5.164805068
62,Norman Powell,SG,5.159145782
63,Jamal Murray,PG,5.143744907
64,Danilo Gallinari,PF,5.137379915
65,Buddy Hield,SG,5.096045031
66,Donovan Mitchell,SG,5.064442975
67,OG Anunoby,SF,5.016457629
68,Evan Fournier,SF,4.939436761
69,Ricky Rubio,PG,4.842601075
70,Devonte' Graham,PG,4.775896813
71,Mikal Bridges,SF,4.773992
72,Duncan Robinson,SG,4.701551658
73,Deandre Ayton,C,4.644456533
74,Dejounte Murray,PG,4.598769954
75,Terry Rozier,PG,4.593694973
76,Kevin Huerter,SG,4.565318552
77,Jeremy Lamb,SG,4.53616034
78,Aaron Gordon,PF,4.458033233
79,Brandon Clarke,PF,4.440124477
80,Myles Turner,C,4.27687589
81,Larry Nance Jr.,PF,4.078679115
82,Cameron Payne,SG,3.939623073
83,Lauri Markkanen,PF,3.939514438
84,Eric Bledsoe,PG,3.929495609
85,Malcolm Brogdon,PG,3.836238646
86,Josh Richardson,SG,3.808377778
87,Marquese Chriss,PF,3.750669909
88,Joe Ingles,PF,3.715698627
89,Maxi Kleber,PF,3.700854027
90,Danuel House,SF,3.690658252
91,Jonas Valančiūnas,C,3.677405033
92,Christian Wood,PF,3.614067778
93,Justin Holiday,SF,3.560258046
94,Terrence Ross,SG,3.553204616
95,Thomas Bryant,C,3.543139301
96,Patrick Beverley,PG,3.504933181
97,Nerlens Noel,C,3.489866551
98,P.J. Tucker,PF,3.418005685
99,Daniel Theis,C,3.390200556
100,Paul Millsap,PF,3.372437732
101,Luke Kennard,SG,3.311895474
102,Josh Hart,SF,3.295911358
103,Jabari Parker,PF,3.268600248
104,Julius Randle,PF,3.187179071
105,Jarrett Allen,C,3.179485818
106,Carmelo Anthony,PF,3.174481732
107,Tristan Thompson,PF,3.151716936
108,P.J. Washington,PF,3.128589077
109,Trevor Ariza,SF,3.108522583
110,Kris Dunn,PG,3.070721174
111,Glenn Robinson III,SF,3.058186197
112,Spencer Dinwiddie,PG,3.041665863
113,Elfrid Payton,PG,2.968299449
114,Otto Porter,SF,2.967623541
115,Bojan Bogdanović,SF,2.961338674
116,Bogdan Bogdanović,SG,2.959712606
117,Derrick Jones Jr.,SF,2.921694428
118,Ja Morant,PG,2.896687129
119,Marc Gasol,C,2.896454089
120,Jerami Grant,PF,2.843618936
121,Joe Harris,SF,2.819063106
122,Bruce Brown,PG,2.781833386
123,Garrett Temple,SG,2.757829613
124,Miles Bridges,SF,2.738403713
125,Derrick Rose,PG,2.722098456
126,Troy Brown Jr.,SF,2.674493439
127,Dillon Brooks,SG,2.65122384
128,Donte DiVincenzo,SG,2.650733341
129,Damion Lee,SG,2.601717003
130,Caris LeVert,SG,2.570141005
131,Royce O'Neale,SF,2.569087844
132,Dennis Schröder,SG,2.511918077
133,Tony Snell,SF,2.425825118
134,Danny Green,SG,2.414872009
135,Rodney Hood,SF,2.363162331
136,Dorian Finney-Smith,PF,2.337401902
137,Taurean Prince,PF,2.32120898
138,Zion Williamson,PF,2.293876304
139,Gary Harris,SG,2.288349304
140,Harrison Barnes,PF,2.287046922
141,Tim Hardaway Jr.,SG,2.271778126
142,Dario Šarić,PF,2.199017567
143,J.J. Redick,SG,2.191533052
144,Steven Adams,C,2.178654619
145,Tomáš Satoranský,SG,2.108564267
146,Kendrick Nunn,PG,2.097750108
147,Ish Smith,PG,2.089945282
148,Dwight Powell,C,2.089357399
149,Rui Hachimura,PF,2.064254864
150,Collin Sexton,PG,2.041858381
151,Goran Dragić,PG,1.968578024
152,Delon Wright,PG,1.959874567
153,Tyler Herro,SG,1.94071739
154,Lou Williams,PG,1.928897006
155,Montrezl Harrell,C,1.924925931
156,Rudy Gay,PF,1.872485538
157,Michael Carter-Williams,SG,1.852336009
158,Serge Ibaka,C,1.841725782
159,George Hill,PG,1.795667373
160,Michael Porter Jr.,SF,1.72088561
161,Cameron Johnson,PF,1.659512362
162,Thaddeus Young,PF,1.642651156
163,Kelly Olynyk,C,1.612982321
164,Keldon Johnson,SF,1.556282538
165,Gary Trent Jr.,SF,1.55155577
166,Markelle Fultz,PG,1.500127511
167,Josh Okogie,SG,1.480463965
168,Jordan Clarkson,SG,1.407694204
169,Mike Conley,PG,1.356551257
170,Wendell Carter Jr.,C,1.354252753
171,Seth Curry,SG,1.344572364
172,Eric Gordon,SF,1.289374539
173,Gorgui Dieng,C,1.232629792
174,Langston Galloway,SG,1.225805373
175,Justise Winslow,SG,1.223775905
176,Shabazz Napier,PG,1.208486727
