"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","James Harden","HOU","PG,SG","1","6","2.4","1.6"
"2","Anthony Davis","LAL","PF,C","1","7","2.9","1.7"
"3","Luka Doncic","DAL","PG","1","15","3.5","3.7"
"4","Karl-Anthony Towns","MIN","C","2","6","4.4","1.4"
"5","Giannis Antetokounmpo","MIL","SF,PF","2","8","4.4","1.7"
"6","Nikola Jokic","DEN","PF,C","2","8","5.6","1.8"
"7","Stephen Curry","GSW","PG,SG","4","10","7.3","2.1"
"8","Damian Lillard","POR","PG","4","16","8.3","2.7"
"9","Jayson Tatum","BOS","SF,PF","6","16","10.3","2.4"
"10","Trae Young","ATL","PG","5","41","11.9","8.7"
"11","LeBron James","LAL","PG,SG,SF,PF","7","22","12.2","4.0"
"12","Kawhi Leonard","LAC","SG,SF","5","17","12.6","3.0"
"13","Devin Booker","PHO","PG,SG","10","33","14.5","5.9"
"14","Joel Embiid","PHI","PF,C","11","20","14.6","2.2"
"15","Kevin Durant","BKN","SF,PF","12","27","14.9","3.7"
"16","Bam Adebayo","MIA","PF,C","10","23","16.3","3.3"
"17","Deandre Ayton","PHO","C","11","24","18.4","2.9"
"18","Bradley Beal","WAS","SG","11","32","18.6","5.1"
"19","Jimmy Butler","MIA","SG,SF","15","28","19.7","3.1"
"20","Ben Simmons","PHI","PG","13","30","21.6","4.6"
"21","John Collins","ATL","PF,C","7","49","23.0","8.1"
"22","Paul George","LAC","SF,PF","17","33","25.0","4.5"
"23","Kyrie Irving","BKN","PG,SG","9","40","25.5","8.8"
"24","Shai Gilgeous-Alexander","OKC","SG,SF,PG","17","49","25.9","7.9"
"25","Russell Westbrook","WAS","PG","19","39","26.1","6.1"
"26","Nikola Vucevic","ORL","PF,C","19","36","26.4","4.2"
"27","Pascal Siakam","TOR","PF","21","36","28.8","3.5"
"28","Rudy Gobert","UTH","C","20","39","29.7","5.2"
"29","Zach LaVine","CHI","SG,SF","23","50","33.3","7.1"
"30","Andre Drummond","CLE","PF,C","19","55","34.1","9.4"
"31","Chris Paul","PHO","PG","18","46","35.6","6.7"
"32","Brandon Ingram","NOR","SF,PF","22","47","35.7","7.3"
"33","Domantas Sabonis","IND","PF,C","28","53","36.6","6.4"
"34","Khris Middleton","MIL","SG,SF","28","47","38.8","5.3"
"35","Jrue Holiday","MIL","PG,SG","22","60","39.3","8.3"
"36","Kyle Lowry","TOR","PG","26","58","42.0","7.7"
"37","Donovan Mitchell","UTH","PG,SG","15","43","26.3","7.7"
"38","Christian Wood","HOU","PF,C","32","56","42.6","5.8"
"39","Mitchell Robinson","NYK","C","32","56","46.1","7.3"
"40","Jusuf Nurkic","POR","C","11","42","33.3","8.7"
"41","Ja Morant","MEM","PG","21","58","34.5","10.4"
"42","DeMar DeRozan","SAS","SG,SF","32","64","50.6","9.4"
"43","Tobias Harris","PHI","SF,PF","43","66","50.9","7.1"
"44","Jamal Murray","DEN","PG,SG","25","47","35.7","6.7"
"45","Zion Williamson","NOR","PF","19","70","35.9","13.6"
"46","LaMarcus Aldridge","SAS","PF,C","21","77","51.4","13.2"
"47","Kristaps Porzingis","DAL","PF,C ","31","85","51.8","12.4"
"48","De'Aaron Fox","SAC","PG","27","48","37.1","6.2"
"49","Jonas Valanciunas","MEM","C","44","73","53.5","8.3"
"50","Fred VanVleet","TOR","PG,SG","31","52","39.5","5.6"
"51","Clint Capela","ATL","PF,C","24","87","55.7","13.6"
"52","D'Angelo Russell","MIN","PG,SG","32","57","45.4","7.7"
"53","Hassan Whiteside","SAC","PF,C","40","80","60.7","10.5"
"54","Jaren Jackson Jr.","MEM","PF,C","49","90","61.4","10.5"
"55","TJ Warren","IND","SF,PF ","48","92","62.6","11.5"
"56","Kemba Walker","BOS","PG ","37","122","63.4","21.0"
